"Purpose","START DATE","END DATE","COUNTRY ","CITY","Partner Name","In Country or Overseas","Category","Notes","Event ID"
"Universitas Indonesia Delegation Visit","5/02/2025 12:00 AM","5/02/2025 12:00 AM","Indonesia","Jakarta","Universitas Indonesia","In Country","[""Articulation Visits""]","Articulation Partner through Tracy","1"
"Enterprise Singapore Delegation Visit","26/02/2025 12:00 AM","26/02/2025 12:00 AM","Singapore","Singapore","Enterprise Singapore","In Country","[""Partner Meetings/Events""]","New director networking partner visit","2"
"City University of Hong Kong Delegation Visit","19/05/2025 12:00 AM","19/05/2025 12:00 AM","Hong Kong","Hong Kong","
City University of Hong Kong
","In Country","[""Future Student Recruitment""]","visiting undergraduate students would like to hear about postgraduate study options","3"
"Antai College of Economics and Management Delegation Visit","16/04/2025 12:00 AM","16/04/2025 12:00 AM","China","Shanghai","Antai College of Economics and Management / Shanghai Jiao Tong University 
","In Country","[""Partner Meetings/Events""]","discussion on student exchange between the universitis (uniwide)","4"
"Vietnam National University Delegation Visit","22/04/2025 12:00 AM","22/04/2025 12:00 AM","Vietnam","Hanoi","Vietnam National University - University of Economics and Business
","In Country","[""Partner Meetings/Events"",""Future Student Recruitment"",""Industry Partnerships""]","discuss collaboration between our schools - please refer to their MOU proposal for all of their action items","5"
"The Hong Kong Polytechnic University Delegation Visit","5/05/2025 12:00 AM","5/05/2025 12:00 AM","Hong Kong","Hong Kong","The Hong Kong Polytechnic University
","In Country","[""Research Collaboration"",""Marketing/Sundries""]","The School of Fashion and Textiles will be visiting UNSW to discuss Student exchange, program collaboration and research collaboration.","6"
"Investment NSW ASEAN Delegation Visit","2/06/2025 4:30 PM","2/06/2025 6:00 PM","Australia","Sydney","Investment NSW
","In Country","[""Industry Partnerships""]","Investment NSW's ASEAN representatives from Malaysia, Indonesia, Singapore and Vietnam attending to hold a panel and discuss about their country's current and future investment plans and collaborative efforts with NSW.","7"
"OJK Delegation Visit","18/06/2025 12:00 AM","18/09/2025 12:00 AM","Indonesia",,"OJK (Financial Services Authority Indonesia)","In Country","[""Partner Meetings/Events""]",,"8"
"Weslink International School Campus Tour","8/07/2025 12:00 AM","8/07/2025 12:00 AM","Vietnam","Hanoi","Weslink International School","In Country","[""Study Tour""]",,"9"
"SIT Global Inbound Study Program","10/08/2025 12:00 AM","23/08/2025 12:00 AM","Singapore","Singapore","Singapore Institute of Technology","In Country","[""Future Student Recruitment"",""Study Tour""]",,"10"
"Sarawak Digital Economy Corporation Visit to UNSW","4/09/2025 12:00 AM","4/09/2025 12:00 AM","Malaysia",,"Sarawak Digital Economy Corporation","In Country","[""Partner Meetings/Events""]",,"11"
"Shanghai Jiao Tong University Partner Visit","8/08/2025 12:00 AM","8/08/2025 12:00 AM","China","Shanghai","Shanghai Jiao Tong University","In Country","[""Partner Meetings/Events"",""Future Student Recruitment""]",,"12"
"East China Normal University Delegation Visit","21/05/2025 12:00 AM","21/05/2025 12:00 AM","China","Shanghai","East China Normal University","In Country","[""Partner Meetings/Events"",""Articulation Visits""]",,"13"
"Thammasat University Delegation Visit","11/08/2025 12:00 AM","12/08/2025 12:00 AM","Thailand","Bangkok","Thammasat University","In Country","[""Partner Meetings/Events"",""Research Collaboration""]",,"14"
"Bank Indonesia Delegation Visit","7/11/2025 12:00 AM","7/11/2025 12:00 AM","Indonesia","Jakarta","Bank Indonesia","In Country","[""Industry Partnerships""]",,"15"
"Hong Kong / Shanghai Roadshow","13/11/2025 12:00 AM","18/11/2025 12:00 AM","China","Hong Kong SAR, Shanghai","CUHK, HKUST, CityU HK, Fudan University, Shanghai Jiao Tong University","Overseas","[""Partner Meetings/Events""]",,"16"
"Thailand GBP","26/11/2025 12:00 AM","13/12/2025 12:00 AM","Thailand","Bangkok","Thammasat University","Overseas","[""Industry Partnerships""]",,"17"
"Sungkyunkwan University","1/01/2025 12:00 AM","1/01/2025 12:00 AM","South Korea","Seoul","Sungkyunkwan University","In Country","[""Partner Meetings/Events""]",,"18"
"UNSW Malaysia Alumni Pitch Event","1/05/2025 12:00 AM","1/05/2025 12:00 AM","Malaysia","Kuala Lumpur",,"Overseas","[""Marketing/Sundries"",""Alumni Event""]",,"19"
"UNSW Founders Pioneering Investor Series","27/10/2025 12:00 AM","27/10/2025 12:00 AM","Singapore","Singapore",,"Overseas","[""Marketing/Sundries"",""Alumni Event""]",,"20"
"UNSW International Week","1/04/2025 12:00 AM","1/04/2025 12:00 AM","Indonesia","Jakarta","BINUS University","Overseas","[""Future Student Recruitment""]",,"21"
"Singapore GBP","14/07/2025 12:00 AM","31/07/2025 12:00 AM","Singapore","Singapore","Nanyang Technological University","Overseas","[""Study Tour""]",,"22"
"GNAM Global Network Week","3/03/2025 12:00 AM","10/03/2025 12:00 AM","Australia","Sydney ",,"In Country","[""Partner Meetings/Events""]",,"23"
"PIM Network Conference","1/10/2025 12:00 AM","1/10/2025 12:00 AM","Chile",,,"Overseas","[""Partner Meetings/Events""]",,"24"
"Indonesia GBP","1/01/2025 12:00 AM","15/11/2025 12:00 AM","Indonesia","Jakarta",,"Overseas","[""Study Tour""]",,"25"
